id,localized_name,carry,jungler,pusher,nuker,disabler,initiator,durable,support,last_played,games,win,with_games,against_games,against_win
1,Anti-Mage,1,0,0,1,0,0,0,0,1682306741,1,1,12,28,15
2,Axe,1,0,0,0,1,1,1,0,1668142281,1,0,37,49,25
3,Bane,0,0,0,1,1,0,1,1,1656659384,1,1,7,7,5
4,Bloodseeker,1,0,0,1,1,1,0,0,1672712267,5,3,9,25,15
5,Crystal Maiden,0,0,0,1,1,0,0,1,1679636069,10,3,36,60,36
6,Drow Ranger,1,0,1,0,1,0,0,0,1681371262,18,10,65,80,45
7,Earthshaker,0,0,0,1,1,1,0,1,0,0,0,18,23,9
8,Juggernaut,1,0,1,0,0,0,0,0,1679772294,9,6,42,64,31
9,Mirana,1,0,0,1,1,0,0,1,1680816018,7,4,43,38,15
10,Morphling,1,0,0,1,1,0,1,0,1658538641,1,0,7,5,4
11,Shadow Fiend,1,0,0,1,0,0,0,0,1670031439,1,1,26,28,11
12,Phantom Lancer,1,0,1,1,0,0,0,0,1682309674,6,2,9,22,7
13,Puck,0,0,0,1,1,1,0,0,1660434283,4,2,8,11,6
14,Pudge,0,0,0,1,1,1,1,0,0,0,0,45,82,51
15,Razor,1,0,1,1,0,0,1,0,1659854667,2,1,25,16,6
16,Sand King,0,0,0,1,1,1,0,1,1682383201,13,9,18,21,11
17,Storm Spirit,1,0,0,1,1,1,0,0,0,0,0,6,13,5
18,Sven,1,0,0,1,1,1,1,0,1663041836,1,0,17,16,9
19,Tiny,1,0,1,1,1,1,1,0,1676607947,2,1,9,19,7
20,Vengeful Spirit,0,0,0,1,1,1,0,1,0,0,0,16,13,5
21,Windranger,1,0,0,1,1,0,0,1,1666572854,3,2,28,33,19
22,Zeus,1,0,0,1,0,0,0,0,1661229613,9,7,35,29,18
23,Kunkka,1,0,0,1,1,1,1,1,1655436118,6,6,13,17,9
25,Lina,1,0,0,1,1,0,0,1,1676611325,14,7,25,25,13
26,Lion,0,0,0,1,1,1,0,1,1682286501,4,1,30,47,29
27,Shadow Shaman,0,0,1,1,1,1,0,1,1657601912,3,0,33,56,33
28,Slardar,1,0,0,0,1,1,1,0,1673413283,12,6,10,31,16
29,Tidehunter,1,0,0,1,1,1,1,0,1669871045,5,2,14,20,6
30,Witch Doctor,0,0,0,1,1,0,0,1,1682231373,13,7,62,68,33
31,Lich,0,0,0,1,0,0,0,1,1666760851,2,0,43,32,11
32,Riki,1,0,0,0,1,0,0,0,1682486982,21,12,19,18,8
33,Enigma,0,0,1,0,1,1,0,0,0,0,0,8,7,5
34,Tinker,1,0,1,1,0,0,0,0,0,0,0,3,6,2
35,Sniper,1,0,0,1,0,0,0,0,1675470302,3,3,73,67,35
36,Necrophos,1,0,0,1,1,0,1,0,1678926070,3,1,27,29,15
37,Warlock,0,0,0,0,1,1,0,1,1677990736,6,2,29,21,10
38,Beastmaster,0,0,0,1,1,1,1,0,1679714271,15,10,4,1,1
39,Queen of Pain,1,0,0,1,0,0,0,0,0,0,0,17,6,4
40,Venomancer,0,0,1,1,1,1,0,1,1672447140,2,1,24,29,13
41,Faceless Void,1,0,0,0,1,1,1,0,1681696959,5,2,25,43,29
42,Wraith King,1,0,0,0,1,1,1,1,1679768446,1,1,32,31,15
43,Death Prophet,1,0,1,1,1,0,0,0,1677809941,8,3,12,16,6
44,Phantom Assassin,1,0,0,0,0,0,0,0,1678065733,6,3,34,51,27
45,Pugna,0,0,1,1,0,0,0,0,1650154999,2,1,10,12,9
46,Templar Assassin,1,0,0,0,0,0,0,0,0,0,0,7,10,6
47,Viper,1,0,0,0,1,1,1,0,1675651763,13,8,35,45,20
48,Luna,1,0,1,1,0,0,0,0,0,0,0,32,34,19
49,Dragon Knight,1,0,1,1,1,1,1,0,1656732753,3,2,17,13,9
50,Dazzle,0,0,0,1,1,0,0,1,1663539671,4,0,29,36,18
51,Clockwerk,0,0,0,1,1,1,1,0,0,0,0,8,15,9
52,Leshrac,1,0,1,1,1,0,0,1,1679281603,3,2,6,9,3
53,Nature's Prophet,1,0,1,1,0,0,0,0,0,0,0,17,31,18
54,Lifestealer,1,0,0,0,1,0,1,0,1674626971,2,0,16,27,10
55,Dark Seer,0,0,0,0,1,1,0,0,0,0,0,5,10,5
56,Clinkz,1,0,1,0,0,0,0,0,0,0,0,17,23,12
57,Omniknight,0,0,0,1,0,0,1,1,1662441655,2,0,9,15,7
58,Enchantress,0,0,1,0,1,0,1,1,1668897327,2,0,10,18,7
59,Huskar,1,0,0,0,0,1,1,0,1678856941,19,12,15,24,12
60,Night Stalker,1,0,0,1,1,1,1,0,1665361420,2,0,17,11,7
61,Broodmother,1,0,1,1,0,0,0,0,1677389167,6,1,7,1,0
62,Bounty Hunter,0,0,0,1,0,0,0,0,1680326350,2,0,12,17,8
63,Weaver,1,0,0,0,0,0,0,0,0,0,0,18,27,16
64,Jakiro,0,0,1,1,1,0,0,1,1681262076,5,2,35,42,20
65,Batrider,0,0,0,0,1,1,0,0,1653184944,1,0,2,3,2
66,Chen,0,0,1,0,0,0,0,1,0,0,0,4,3,0
67,Spectre,1,0,0,0,0,0,1,0,1681369372,7,3,28,33,22
68,Ancient Apparition,0,0,0,1,1,0,0,1,0,0,0,18,22,11
69,Doom,1,0,0,1,1,1,1,0,1682299700,2,0,12,13,9
70,Ursa,1,0,0,0,1,0,1,0,0,0,0,16,13,9
71,Spirit Breaker,1,0,0,0,1,1,1,0,1668396534,2,0,13,23,7
72,Gyrocopter,1,0,0,1,1,0,0,0,0,0,0,13,18,10
73,Alchemist,1,0,0,1,1,1,1,1,1657173673,1,0,6,17,8
74,Invoker,1,0,1,1,1,0,0,0,0,0,0,18,29,17
75,Silencer,1,0,0,1,1,1,0,1,1676697352,5,3,50,50,19
76,Outworld Destroyer,1,0,0,1,1,0,0,0,0,0,0,15,13,8
77,Lycan,1,0,1,0,0,0,1,0,0,0,0,7,5,2
78,Brewmaster,1,0,0,1,1,1,1,0,0,0,0,3,2,2
79,Shadow Demon,0,0,0,1,1,1,0,1,0,0,0,4,7,2
80,Lone Druid,1,0,1,0,0,0,1,0,0,0,0,6,8,4
81,Chaos Knight,1,0,1,0,1,1,1,0,1675543875,31,18,14,35,18
82,Meepo,1,0,1,1,1,1,0,0,0,0,0,4,4,2
83,Treant Protector,0,0,0,0,1,1,1,1,1674018266,2,0,11,22,13
84,Ogre Magi,0,0,0,1,1,1,1,1,1662437917,1,1,45,52,25
85,Undying,0,0,0,1,1,0,1,1,1677725042,11,7,26,35,16
86,Rubick,0,0,0,1,1,0,0,1,1676089919,2,0,20,28,15
87,Disruptor,0,0,0,1,1,1,0,1,1678516050,7,3,15,36,19
88,Nyx Assassin,0,0,0,1,1,1,0,0,0,0,0,5,6,4
89,Naga Siren,1,0,1,0,1,1,0,1,1679965826,6,4,13,12,6
90,Keeper of the Light,0,0,0,1,1,0,0,1,0,0,0,10,14,8
91,Io,0,0,0,1,0,0,0,1,0,0,0,9,8,6
92,Visage,0,0,1,1,1,0,1,1,1668811239,1,0,2,2,0
93,Slark,1,0,0,1,1,0,0,0,1678662000,13,6,11,33,21
94,Medusa,1,0,0,0,1,0,1,0,1678334929,7,5,27,21,8
95,Troll Warlord,1,0,1,0,1,0,1,0,0,0,0,16,14,9
96,Centaur Warrunner,0,0,0,1,1,1,1,0,0,0,0,13,30,16
97,Magnus,0,0,0,1,1,1,0,0,0,0,0,10,8,4
98,Timbersaw,0,0,0,1,0,0,1,0,1679968516,13,5,9,12,7
99,Bristleback,1,0,0,1,0,1,1,0,1659327873,2,1,32,38,26
