result,radiant_win,duration,start_time,game_mode,localized_name,kills,deaths,assists,primary_attr,attack_type,carry,jungler,pusher,nuker,disabler,initiator,durable,support,legs
0,1,3212,1639033178,22,Snapfire,4,8,17,all,Ranged,0,0,0,1,1,0,0,1,2
1,1,2571,1640818822,22,Bristleback,5,4,19,str,Melee,1,0,0,1,0,1,1,0,2
0,1,2142,1641277499,22,Chaos Knight,1,7,9,str,Melee,1,0,1,0,1,1,1,0,2
0,1,2025,1641775547,22,Lich,3,8,8,int,Ranged,0,0,0,1,0,0,0,1,2
1,0,3794,1646713648,22,Timbersaw,8,9,30,all,Melee,0,0,0,1,0,0,1,0,2
0,1,2139,1646890949,22,Winter Wyvern,1,9,13,all,Ranged,0,0,0,1,1,0,0,1,2
0,0,1996,1646893527,22,Shadow Shaman,1,11,7,int,Ranged,0,0,1,1,1,1,0,1,2
0,0,3208,1646896136,22,Spirit Breaker,7,9,17,str,Melee,1,0,0,0,1,1,1,0,2
0,1,3143,1647052838,22,Juggernaut,13,9,18,agi,Melee,1,0,1,0,0,0,0,0,2
1,0,3511,1647204398,22,Mars,5,6,17,str,Melee,1,0,0,0,1,1,1,0,2
0,1,2807,1647208694,22,Timbersaw,9,9,11,all,Melee,0,0,0,1,0,0,1,0,2
0,1,3506,1647212590,22,Timbersaw,6,9,14,all,Melee,0,0,0,1,0,0,1,0,2
0,1,3084,1647411143,22,Timbersaw,3,6,18,all,Melee,0,0,0,1,0,0,1,0,2
0,1,2186,1647552204,22,Mars,10,6,3,str,Melee,1,0,0,0,1,1,1,0,2
1,0,3628,1647555639,22,Chaos Knight,7,9,9,str,Melee,1,0,1,0,1,1,1,0,2
0,0,1853,1647575329,22,Chaos Knight,8,7,6,str,Melee,1,0,1,0,1,1,1,0,2
0,1,1906,1649814680,22,Skywrath Mage,9,12,14,int,Ranged,0,0,0,1,1,0,0,1,2
1,1,2978,1649817579,22,Snapfire,13,6,21,all,Ranged,0,0,0,1,1,0,0,1,2
0,1,2523,1649827377,22,Snapfire,6,5,11,all,Ranged,0,0,0,1,1,0,0,1,2
0,0,3093,1649830358,22,Snapfire,10,9,20,all,Ranged,0,0,0,1,1,0,0,1,2
1,1,2267,1649899086,22,Snapfire,3,2,20,all,Ranged,0,0,0,1,1,0,0,1,2
1,1,2609,1650151739,22,Pugna,6,10,26,int,Ranged,0,0,1,1,0,0,0,0,2
0,1,2151,1650154999,22,Pugna,0,11,11,int,Ranged,0,0,1,1,0,0,0,0,2
1,0,2032,1650157898,22,Timbersaw,14,3,23,all,Melee,0,0,0,1,0,0,1,0,2
0,1,1850,1650162162,22,Timbersaw,2,4,16,all,Melee,0,0,0,1,0,0,1,0,2
0,1,2354,1650169026,22,Mars,6,9,17,str,Melee,1,0,0,0,1,1,1,0,2
1,0,2048,1650171816,22,Timbersaw,5,1,21,all,Melee,0,0,0,1,0,0,1,0,2
0,0,2545,1650237359,22,Timbersaw,4,5,11,all,Melee,0,0,0,1,0,0,1,0,2
0,0,2067,1650240899,22,Drow Ranger,2,5,3,agi,Ranged,1,0,1,0,1,0,0,0,2
0,1,1447,1650342355,22,Snapfire,2,2,1,all,Ranged,0,0,0,1,1,0,0,1,2
1,1,1935,1650343893,22,Legion Commander,9,3,25,str,Melee,1,0,0,1,1,1,1,0,2
1,0,1899,1650346274,22,Legion Commander,12,1,7,str,Melee,1,0,0,1,1,1,1,0,2
0,0,1521,1650424745,22,Huskar,1,6,4,str,Ranged,1,0,0,0,0,1,1,0,2
1,0,1360,1650426598,22,Timbersaw,4,3,8,all,Melee,0,0,0,1,0,0,1,0,2
1,0,1893,1650428627,22,Ember Spirit,7,2,9,agi,Melee,1,0,0,1,1,1,0,0,2
0,1,2033,1650430967,22,Void Spirit,7,9,7,all,Melee,1,0,0,1,1,0,0,0,2
1,1,2287,1650433590,22,Kunkka,9,2,11,str,Melee,1,0,0,1,1,1,1,1,2
1,1,2180,1650436660,22,Kunkka,13,2,15,str,Melee,1,0,0,1,1,1,1,1,2
0,1,1989,1650590779,22,Shadow Shaman,3,10,6,int,Ranged,0,0,1,1,1,1,0,1,2
1,1,2687,1650593947,22,Legion Commander,23,6,22,str,Melee,1,0,0,1,1,1,1,0,2
0,0,3006,1650681354,22,Legion Commander,6,7,4,str,Melee,1,0,0,1,1,1,1,0,2
1,0,2221,1650852840,22,Sand King,13,3,24,all,Melee,0,0,0,1,1,1,0,1,6
1,0,3413,1650855624,22,Sand King,6,9,30,all,Melee,0,0,0,1,1,1,0,1,6
1,0,2808,1650860055,22,Sand King,7,6,21,all,Melee,0,0,0,1,1,1,0,1,6
1,0,3320,1650864040,22,Sand King,12,8,30,all,Melee,0,0,0,1,1,1,0,1,6
1,1,2027,1651987070,22,Snapfire,10,1,20,all,Ranged,0,0,0,1,1,0,0,1,2
1,1,2780,1651989788,22,Dragon Knight,9,6,13,str,Melee,1,0,1,1,1,1,1,0,2
0,1,2598,1652158220,22,Mars,4,7,11,str,Melee,1,0,0,0,1,1,1,0,2
0,0,1984,1652161201,22,Timbersaw,3,6,6,all,Melee,0,0,0,1,0,0,1,0,2
1,1,1939,1653026906,22,Snapfire,6,1,16,all,Ranged,0,0,0,1,1,0,0,1,2
1,0,3931,1653180472,22,Drow Ranger,23,11,18,agi,Ranged,1,0,1,0,1,0,0,0,2
0,1,2185,1653184944,22,Batrider,4,4,5,all,Ranged,0,0,0,0,1,1,0,0,2
1,1,2202,1653199996,22,Snapfire,10,1,20,all,Ranged,0,0,0,1,1,0,0,1,2
1,1,2227,1653202744,22,Snapfire,2,0,1,all,Ranged,0,0,0,1,1,0,0,1,2
0,0,2755,1653204360,22,Snapfire,4,7,18,all,Ranged,0,0,0,1,1,0,0,1,2
0,1,2650,1653207517,22,Mars,2,7,10,str,Melee,1,0,0,0,1,1,1,0,2
1,1,2123,1653455348,22,Snapfire,2,0,7,all,Ranged,0,0,0,1,1,0,0,1,2
1,0,2771,1653458024,22,Snapfire,9,4,25,all,Ranged,0,0,0,1,1,0,0,1,2
0,1,2276,1653529073,22,Crystal Maiden,2,10,16,int,Ranged,0,0,0,1,1,0,0,1,2
1,0,3779,1653533871,22,Juggernaut,17,6,24,agi,Melee,1,0,1,0,0,0,0,0,2
0,1,3912,1653629744,22,Snapfire,9,10,24,all,Ranged,0,0,0,1,1,0,0,1,2
